07-19-2025 19:06:35 INFO  allProductTest.SauceDemoWebsite.verifyAddProductAndPlaceOrder - Application launched successfully.
07-19-2025 19:06:39 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Captured product names: [Test.allTheThings() T-Shirt (Red), Sauce Labs Onesie, Sauce Labs Fleece Jacket, Sauce Labs Bolt T-Shirt, Sauce Labs Bike Light, Sauce Labs Backpack]
07-19-2025 19:06:39 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - ✅ Products are sorted in Name (Z to A) order.
07-19-2025 19:06:39 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Browser closed successfully.
07-19-2025 19:06:40 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Application launched successfully.
07-19-2025 19:06:40 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: standard_user in element: //input[@id='user-name']
07-19-2025 19:06:40 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: secret_sauce in element: //input[@id='password']
07-19-2025 19:06:40 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Clicked on element: //input[@id='login-button']
07-19-2025 19:06:40 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Logged in into SauceDemo successfully....
07-19-2025 19:06:40 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Selected 'Price (low to high)' from dropdown with class name: product_sort_container
07-19-2025 19:06:40 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Applied filter: Price (low to high)
07-19-2025 19:06:40 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Captured product prices: [7.99, 9.99, 15.99, 15.99, 29.99, 49.99]
07-19-2025 19:06:40 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - ✅ Products are sorted in Price (low to high) order.
07-19-2025 19:06:41 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Browser closed successfully.
07-19-2025 19:06:42 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Application launched successfully.
07-19-2025 19:06:42 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: standard_user in element: //input[@id='user-name']
07-19-2025 19:06:42 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Entered Text: secret_sauce in element: //input[@id='password']
07-19-2025 19:06:42 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Clicked on element: //input[@id='login-button']
07-19-2025 19:06:42 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Logged in into SauceDemo successfully....
07-19-2025 19:06:42 INFO  productFunctionLibrary.SauceDemoFunctionLibrary - Selected 'Price (high to low)' from dropdown with class name: product_sort_container
07-19-2025 19:06:42 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Applied filter: Price (high to low)
07-19-2025 19:06:42 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Captured product prices: [49.99, 29.99, 15.99, 15.99, 9.99, 7.99]
07-19-2025 19:06:42 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - ✅ Products are sorted in Price (high to low) order.
07-19-2025 19:06:43 INFO  allProductTest.SauceDemoWebsite.verifyFilterSortVerification - Browser closed successfully.
